#(threads),time taken(in ns)
1866,73882365
1867,75699543
1868,73725975
1869,73476420
1870,76822084
1871,73745447
1872,73365025
1873,73876335
1874,74661428
1875,73922096
1876,73335876
1877,72452025
1878,74508764
1879,75455437
1880,74168744
1881,73270662
1882,73995821
1883,71823537
1884,72679715
1885,73992424
1886,72440274
1887,72307984
1888,74822652
1889,72653541
1890,73254910
1891,71529859
1892,72783318
1893,73821444
1894,71905762
1895,75180987
1896,75246537
1897,73255995
1898,75114325
1899,71942328
1900,74274897
1901,72861623
1902,76249137
1903,73518515
1904,73575401
1905,73418153
1906,75435706
1907,74870718
1908,73188993
1909,75100338
1910,72599080
1911,73410430
1912,75405823
1913,73306927
1914,74931257
1915,74720465
1916,75862170
1917,75569246
1918,75474805
1919,76625673
1920,72537420
1921,74290653
1922,75504897
1923,75250351
1924,73808953
1925,73280828
1926,74725961
1927,72912841
1928,75353024
1929,72557153
1930,73071487
1931,73997803
1932,74529705
1933,75880118
1934,76315409
1935,75050229
1936,76487317
1937,76281632
1938,74744964
1939,75291390
1940,72794058
1941,73939206
1942,74692880
1943,75647733
1944,75575101
1945,76124136
1946,75293053
1947,73295249
1948,77522381
1949,75938452
1950,75109238
1951,74898885
1952,75607153
1953,77053421
1954,74476761
1955,74969361
1956,74767450
1957,73769509
1958,73965343
1959,75377986
1960,75293219
1961,73778065
1962,75226025
1963,75571026
1964,73187196
1965,75487023
1966,75412045
1967,74805831
1968,74695180
1969,74511585
1970,74764487
1971,75170248
1972,74760086
1973,76329341
1974,74112318
1975,75772083
1976,76543997
1977,77354829
1978,73676854
1979,75953266
1980,74633283
1981,75604027
1982,74243115
1983,76094228
1984,75602086
1985,76749134
1986,75161269
1987,74570735
1988,76769778
1989,75472074
1990,74518856
1991,76277739
1992,75024153
1993,76442331
1994,76396470
1995,76787580
1996,76586166
1997,75857414
1998,76750004
1999,70290787
2000,60054255
